,1,2,3,4,5,6,7,8,9,10,11,12
A,0.043,0.048,0.042,0.045,0.069,0.081,0.098,0.117,0.193,0.042,0.047,0.047
B,0.043,0.045,0.041,0.042,0.06,0.082,0.102,0.121,0.195,0.051,0.052,0.051
C,0.044,0.044,0.042,0.042,0.062,0.082,0.101,0.16,0.196,0.059,0.059,0.058
D,0.047,0.045,0.045,0.045,0.063,0.082,0.104,0.119,0.196,0.082,0.075,0.074
E,0.046,0.047,0.053,0.048,0.071,0.086,0.117,0.13,0.204,0.125,0.125,0.122
F,0.046,0.046,0.046,0.046,0.065,0.091,0.112,0.127,0.2,0.204,0.202,0.214
G,0.054,0.047,0.055,0.077,0.063,0.121,0.133,0.143,0.223,0.384,0.376,0.362
H,0.044,0.044,0.044,0.042,0.061,0.081,0.1,0.117,0.192,0.71,0.704,0.697
