,1,2,3,4,5,6,7,8,9,10,11,12
A,0.044,0.044,0.041,0.042,0.063,0.084,0.105,0.123,0.204,0.041,0.041,0.042
B,0.043,0.043,0.041,0.045,0.062,0.084,0.104,0.125,0.205,0.051,0.05,0.05
C,0.043,0.044,0.042,0.042,0.087,0.085,0.104,0.126,0.207,0.059,0.059,0.058
D,0.044,0.044,0.044,0.044,0.062,0.084,0.104,0.124,0.208,0.078,0.077,0.076
E,0.044,0.051,0.044,0.043,0.062,0.084,0.105,0.125,0.209,0.129,0.127,0.128
F,0.043,0.047,0.044,0.041,0.063,0.085,0.105,0.126,0.207,0.217,0.212,0.226
G,0.044,0.045,0.045,0.042,0.063,0.084,0.104,0.126,0.209,0.396,0.394,0.394
H,0.043,0.044,0.044,0.041,0.062,0.084,0.103,0.124,0.206,0.75,0.754,0.743
