		Raw.Average	Raw.Average	Raw.Average	Raw.Average	Raw.Average	Raw.STD	Raw.STD	Raw.STD	Raw.STD	Raw.STD	ISCorrectedIntensity.Average	ISCorrectedIntensity.Average	ISCorrectedIntensity.Average	ISCorrectedIntensity.Average	ISCorrectedIntensity.Average	BlankCorrectedIntensity.Average	BlankCorrectedIntensity.Average	BlankCorrectedIntensity.Average	BlankCorrectedIntensity.Average	BlankCorrectedIntensity.Average	ExtCal.Average	ExtCal.Average	ExtCal.Average	ExtCal.Average	ExtCal.Average	ExtCal.STD	ExtCal.STD	ExtCal.STD	ExtCal.STD	ExtCal.STD	ExtCal.RSE	ExtCal.RSE	ExtCal.RSE	ExtCal.RSE	ExtCal.RSE	ExtCal.LOD	ExtCal.LOD	ExtCal.LOD	ExtCal.LOD	ExtCal.LOD	ExtCal.BEC	ExtCal.BEC	ExtCal.BEC	ExtCal.BEC	ExtCal.BEC	ExtCal.CoefficientOfDetermination	ExtCal.CoefficientOfDetermination	ExtCal.CoefficientOfDetermination	ExtCal.CoefficientOfDetermination	ExtCal.CoefficientOfDetermination	ExtCal.CorrelationCoefficient	ExtCal.CorrelationCoefficient	ExtCal.CorrelationCoefficient	ExtCal.CorrelationCoefficient	ExtCal.CorrelationCoefficient	ExtCal.StandardConcentration	ExtCal.StandardConcentration	ExtCal.StandardConcentration	ExtCal.StandardConcentration	ExtCal.StandardConcentration	ExtCal.ParameterA	ExtCal.ParameterA	ExtCal.ParameterA	ExtCal.ParameterA	ExtCal.ParameterA	ExtCal.ParameterB	ExtCal.ParameterB	ExtCal.ParameterB	ExtCal.ParameterB	ExtCal.ParameterB	ExtCal.ParameterC	ExtCal.ParameterC	ExtCal.ParameterC	ExtCal.ParameterC	ExtCal.ParameterC	
		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
		Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	Fe 238.204 {141} (Axial)	Fe 239.562 {141} (Axial)	Fe 240.488 {140} (Axial)	Fe 259.940 {130} (Axial)	Sc 424.683 {79} (Axial)	
		Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (cps)	Y (ppm)	Y (ppm)	Y (ppm)	Y (ppm)	Y (%)	Y (ppm)	Y (ppm)	Y (ppm)	Y (ppm)	Y (%)	Y (%)	Y (%)	Y (%)	Y (%)	Y (%)	Y (ppm)	Y (ppm)	Y (ppm)	Y (ppm)	Y (%)	Y (ppm)	Y (ppm)	Y (ppm)	Y (ppm)	Y (%)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y (ppm)	Y (ppm)	Y (ppm)	Y (ppm)	Y (%)	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	
1	matrix blank	1647.7773760455957	975.28887290771388	854.38492396779259	1431.9822478968533	48150.538778065915	3.4440858989212675	5.1429909124775861	6.3704219258115931	9.468725207533577	106.59568572153006	1647.7776789363702	975.29155651047472	854.38485353684359	1431.9739199939056	48150.538778065915	0	0	0	0		0	0	0	0	100	1.5033400946184411E-05	0.00063945373815511495	0.00075049684334404945	0.00051568758332377483	0.0022138004771817908																																														
2	STD0.03	1988.0759831744047	1160.7548391087928	1041.0401383610504	1742.4663858208842	48117.255909181695	2.5531009076743181	7.1678175936906081	3.6937226631715	8.6710479910105658	133.81409428095313	1989.4572443698544	1161.563526899776	1041.7686672018108	1743.6808506184402	48150.538778065922	341.67956543348413	186.27197038930126	187.38381366496719	311.70693062453455		0.022588547383152188	0.02186698789015774	0.023179305318223844	0.024318963746535843	99.930877473588325	0.00023245500804234818	0.00091961183097659458	0.00069631463318194336	0.00078078652645218718	0.27790778187496934	11.881408059348635	12.588218200567711	11.058652398610951	9.4460948736511838	0	4.5100202838566085E-05	0.0019183612144653278	0.002251490530032145	0.0015470627499713447		0.10893511916737859	0.114492205193383	0.10568707612496933	0.11172071720235142	0	0.99982165331406081	0.9998457789948445	0.99980907627037841	0.99380825574460463	0	0.99991082268073328	0.99992288652417816	0.99990453357827036	0.99689932076644761	0	0.030000300003000031	0.030000300003000031	0.030000300003000031	0.030000300003000031		1647.7776789363702	975.29155651047472	854.38485353684359	1431.9739199939056	0	15126.230104036174	8518.4100949331787	8084.0996351018266	12817.442958231979	0	0	0	0	0	0	
3	STD0.08	2743.9668230279335	1590.8354584353694	1444.3007812183369	2438.2053203525711	48078.53448369223	5.6480895412740217	8.292282604884134	6.5877065808158743	4.4774343420114944	174.02664425345361	2748.0866669750822	1593.2286437117471	1446.4906277333464	2441.8674081662734	48150.538778065922	1100.3089880387117	617.93708720127222	592.10577419650269	1009.8934881723679		0.072741785657823188	0.072541363976926454	0.073243255393034834	0.0787905584181879	99.850460044267479	0.00028506676025427403	0.0010936956986216894	0.0014220460484247624	0.00034182878031271453	0.36142200829162219	11.881408059348635	12.588218200567711	11.058652398610951	9.4460948736511838	0	4.5100202838566085E-05	0.0019183612144653278	0.002251490530032145	0.0015470627499713447		0.10893511916737859	0.114492205193383	0.10568707612496933	0.11172071720235142	0	0.99982165331406081	0.9998457789948445	0.99980907627037841	0.99380825574460463	0	0.99991082268073328	0.99992288652417816	0.99990453357827036	0.99689932076644761	0	0.08	0.08	0.08	0.08		1647.7776789363702	975.29155651047472	854.38485353684359	1431.9739199939056	0	15126.230104036174	8518.4100949331787	8084.0996351018266	12817.442958231979	0	0	0	0	0	0	
4	STD0.2	4478.968116477412	2582.9453002336691	2373.375788175033	4002.3735923774184	47565.765149775	20.45826643009562	13.591728699791769	9.2840608786013643	21.770404130362543	265.0610599941939	4534.0504844022234	2614.703738363623	2402.570889294363	4051.5900876811088	48150.538778065922	2886.2728054658533	1639.4121818531485	1548.1860357575197	2619.616167687203		0.19081243545909704	0.19245518395836381	0.19151001418082084	0.2043789994793587	98.785530456915041	0.00038993122993153647	0.00028506542610917207	0.00068025550769610938	0.00082745013788642057	0.55048409990808767	11.881408059348635	12.588218200567711	11.058652398610951	9.4460948736511838	0	4.5100202838566085E-05	0.0019183612144653278	0.002251490530032145	0.0015470627499713447		0.10893511916737859	0.114492205193383	0.10568707612496933	0.11172071720235142	0	0.99982165331406081	0.9998457789948445	0.99980907627037841	0.99380825574460463	0	0.99991082268073328	0.99992288652417816	0.99990453357827036	0.99689932076644761	0	0.2	0.2	0.2	0.2		1647.7776789363702	975.29155651047472	854.38485353684359	1431.9739199939056	0	15126.230104036174	8518.4100949331787	8084.0996351018266	12817.442958231979	0	0	0	0	0	0	
5	STD0.3	6099.8016593130042	3508.9417375588473	3250.3104531472504	5478.4702673706415	47670.242214322818	10.597176768405561	16.107967829202817	15.157031321111434	26.939840001611365	167.20815736159491	6161.2881837894392	3544.2874117491378	3283.0652587964523	5533.6499382303855	48150.538778065922	4513.5105048530686	2568.9958552386629	2428.6804052596085	4101.6760182364787		0.298389649886968	0.30158161283720347	0.30042682733820825	0.3200073549461116	99.002510509888836	0.00087771775361049288	0.00055211535698779658	0.0016009937499539412	0.00062011616081750036	0.34726123861773855	11.881408059348635	12.588218200567711	11.058652398610951	9.4460948736511838	0	4.5100202838566085E-05	0.0019183612144653278	0.002251490530032145	0.0015470627499713447		0.10893511916737859	0.114492205193383	0.10568707612496933	0.11172071720235142	0	0.99982165331406081	0.9998457789948445	0.99980907627037841	0.99380825574460463	0	0.99991082268073328	0.99992288652417816	0.99990453357827036	0.99689932076644761	0	0.3000003000003	0.3000003000003	0.3000003000003	0.3000003000003		1647.7776789363702	975.29155651047472	854.38485353684359	1431.9739199939056	0	15126.230104036174	8518.4100949331787	8084.0996351018266	12817.442958231979	0	0	0	0	0	0	
6	STD0.75	11579.288929468434	6613.2462030475435	6178.3368821623781	10422.871907854033	47492.557678392019	22.874763983931633	9.5390515241473857	6.0031872432347395	24.4728058380402	43.43981863186842	11739.706115084638	6704.8683597570543	6263.9381300948635	10567.269086986083	48150.538778065922	10091.928436148268	5729.5768032465794	5409.55327655802	9135.2951669921786		0.66718067666149083	0.67261105527832943	0.66915964927860294	0.71272368418265919	98.633491719154691	0.00087946838550872228	0.00080659897737449054	0.0011109509505776432	0.0014558944132871949	0.090216682381292018	11.881408059348635	12.588218200567711	11.058652398610951	9.4460948736511838	0	4.5100202838566085E-05	0.0019183612144653278	0.002251490530032145	0.0015470627499713447		0.10893511916737859	0.114492205193383	0.10568707612496933	0.11172071720235142	0	0.99982165331406081	0.9998457789948445	0.99980907627037841	0.99380825574460463	0	0.99991082268073328	0.99992288652417816	0.99990453357827036	0.99689932076644761	0	0.75000001875000044	0.75000001875000044	0.75000001875000044	0.75000001875000044		1647.7776789363702	975.29155651047472	854.38485353684359	1431.9739199939056	0	15126.230104036174	8518.4100949331787	8084.0996351018266	12817.442958231979	0	0	0	0	0	0	
7	STD2.25	34016.91576686965	19311.374915451059	18161.319121318371	30686.88833537549	47318.665912110708	90.440314311730276	72.904744229584566	35.975211824127513	86.177244036777608	128.29641997842376	34614.944212100985	19650.837151347565	18480.626575293423	31226.370003054013	48150.538778065922	32967.166533164615	18675.545594837091	17626.241721756578	29794.396083060106		2.1794701195486832	2.1923745612981773	2.1803592876591953	2.3245194989476987	98.272349828130785	0.00021233230031358	0.0027046788093358694	0.0023046568340930169	0.0016491917904252022	0.26644856574999043	11.881408059348635	12.588218200567711	11.058652398610951	9.4460948736511838	0	4.5100202838566085E-05	0.0019183612144653278	0.002251490530032145	0.0015470627499713447		0.10893511916737859	0.114492205193383	0.10568707612496933	0.11172071720235142	0	0.99982165331406081	0.9998457789948445	0.99980907627037841	0.99380825574460463	0	0.99991082268073328	0.99992288652417816	0.99990453357827036	0.99689932076644761	0	2.2500000225	2.2500000225	2.2500000225	2.2500000225		1647.7776789363702	975.29155651047472	854.38485353684359	1431.9739199939056	0	15126.230104036174	8518.4100949331787	8084.0996351018266	12817.442958231979	0	0	0	0	0	0	
