,1,2,3,4,5,6,7,8,9,10,11,12
A,0.043,0.045,0.042,0.041,0.062,0.084,0.102,0.123,0.203,0.041,0.045,0.042
B,0.043,0.043,0.041,0.041,0.062,0.084,0.104,0.126,0.206,0.05,0.05,0.051
C,0.044,0.044,0.042,0.046,0.063,0.084,0.104,0.126,0.207,0.058,0.059,0.058
D,0.044,0.044,0.044,0.042,0.063,0.084,0.104,0.124,0.208,0.077,0.076,0.076
E,0.044,0.044,0.045,0.041,0.062,0.083,0.104,0.125,0.206,0.128,0.125,0.126
F,0.043,0.044,0.045,0.041,0.062,0.082,0.103,0.123,0.202,0.215,0.208,0.202
G,0.044,0.045,0.045,0.042,0.062,0.082,0.102,0.122,0.203,0.388,0.384,0.379
H,0.043,0.044,0.044,0.042,0.061,0.081,0.103,0.121,0.196,0.719,0.715,0.71
