,1,2,3,4,5,6,7,8,9,10,11,12
A,0.043,0.048,0.041,0.042,0.06,0.081,0.1,0.12,0.198,0.041,0.041,0.042
B,0.043,0.043,0.042,0.041,0.061,0.082,0.101,0.122,0.201,0.05,0.049,0.052
C,0.044,0.044,0.043,0.043,0.062,0.097,0.102,0.123,0.204,0.058,0.058,0.057
D,0.045,0.045,0.044,0.042,0.062,0.083,0.103,0.123,0.204,0.076,0.074,0.074
E,0.044,0.044,0.056,0.042,0.062,0.083,0.104,0.124,0.204,0.127,0.126,0.128
F,0.043,0.044,0.045,0.041,0.063,0.083,0.105,0.125,0.206,0.213,0.206,0.203
G,0.044,0.044,0.045,0.042,0.062,0.083,0.103,0.124,0.206,0.389,0.392,0.38
H,0.043,0.044,0.044,0.041,0.064,0.084,0.103,0.122,0.205,0.746,0.734,0.736
