,1,2,3,4,5,6,7,8,9,10,11,12
A,0.043,0.044,0.045,0.043,0.058,0.079,0.097,0.119,0.187,0.043,0.042,0.042
B,0.044,0.043,0.042,0.043,0.073,0.08,0.097,0.116,0.187,0.049,0.049,0.05
C,0.043,0.045,0.042,0.056,0.062,0.079,0.1,0.117,0.19,0.058,0.06,0.056
D,0.044,0.045,0.044,0.042,0.061,0.08,0.099,0.116,0.189,0.074,0.074,0.073
E,0.044,0.044,0.045,0.047,0.06,0.08,0.098,0.116,0.188,0.119,0.122,0.121
F,0.043,0.045,0.045,0.042,0.061,0.081,0.098,0.117,0.189,0.197,0.202,0.203
G,0.044,0.044,0.047,0.045,0.06,0.083,0.101,0.117,0.191,0.362,0.356,0.36
H,0.043,0.046,0.044,0.042,0.061,0.08,0.098,0.116,0.194,0.678,0.682,0.69
