				Sample 1	Sample 2	Sample 3	Sample 4	Sample 5	Sample 6	Sample 7	Sample 8	Sample 9	Sample 10	Sample 11	Sample 12	Sample 13	Sample 14	
				matrix blank	STD0.05	STD0.08	STD0.12	STD0.2	STD0.75	STD2.25	matrix blank	0.4	0.2	0.15	0.1	0.05	matrix blank	
Raw.Average	0	Fe 238.204 {141} (Axial)	Y [cps]	39.83438837815951	485.72613110732681	697.22506702586327	1112.1841040606457	1872.7102752427575	6799.558668097493	20681.838734525791	115.9814404241633	8826.1856419621345	4373.6699401519118	3281.3383523901953	2438.2207254784903	1144.0598661033662	56.640322886351477	
Raw.Average	0	Fe 239.562 {141} (Axial)	Y [cps]	36.652266350057857	323.78708827876943	454.67130582966109	715.89359963389177	1189.245964998308	4278.5436768645677	12929.648980622516	83.795559781415434	5511.0427187834866	2723.8488978851292	2046.3054544800336	1525.628656968104	718.71776669375231	46.630107720687533	
Raw.Average	0	Fe 240.488 {140} (Axial)	Y [cps]	21.566473765339691	264.20520790379408	377.22055988881067	597.30716826771265	1008.7020325916661	3663.756299152376	11139.415769767671	70.6621814866018	4760.1816909202089	2366.1047452319085	1761.2736096864471	1309.4642909340666	622.43337106653621	32.723194829009344	
Raw.Average	0	Sc 424.683 {79} (Axial)	Y [cps]	37988.583023765437	38347.16171833362	38343.344256513774	37954.156016078079	38741.551202402035	38545.024122527422	38352.497709885378	38451.831177285996	38670.2387051958	38236.678602324333	38474.831847342641	38173.965669863326	37907.873448443257	38092.669202788391	
Raw.Average	0	Fe 259.940 {130} (Axial)	Y [cps]	36.971236400095073	368.02878932146086	520.46181455438466	813.68934915212219	1354.5310769469168	4861.9094786395408	14606.082374872267	82.417584081918378	6136.34326560593	3032.9412517383753	2262.68119572516	1682.9336422054487	791.56431969508083	42.665302463860563	
Raw.STD	0	Fe 238.204 {141} (Axial)	Y [cps]	3.4101091412195719	6.1243182924931681	5.2380281781107341	2.7173401587952619	7.4834462223048144	12.545098286433181	138.65601679988885	18.048783659811996	13.640878791348912	18.684187867091531	15.696598310823417	26.977301820117479	6.2685117667717112	3.1465208653434531	
Raw.STD	0	Fe 239.562 {141} (Axial)	Y [cps]	1.4030025374640422	3.2185704575788145	5.9283797299787064	3.3772312137919149	3.315876390128786	5.7763004985967843	98.667992361129251	9.4768734037607754	12.697402797568859	7.7385267411795944	5.4644975094966632	9.0886582269806713	4.4076380197519169	1.3174362119141048	
Raw.STD	0	Fe 240.488 {140} (Axial)	Y [cps]	2.3840770619583731	5.5941225132598813	5.65850359972678	2.3216621228187293	5.5113057395816858	5.5925672848492436	66.299354687109926	10.436227869210185	10.653368883077288	14.471502597288286	6.5514142353891067	10.654062100086865	7.0892551096642444	2.9551341814077134	
Raw.STD	0	Sc 424.683 {79} (Axial)	Y [cps]	166.55967956645668	137.49373152055716	177.97996580368769	50.634530656171911	81.991735533276881	39.134194649543737	186.20581427653042	109.28790036289251	85.99381418492608	127.86556152756862	104.20691783715966	100.65573358743787	233.34871027573504	52.814098654483217	
